Training begins...
Epoch 0: accuracy -> 0.5661249756813049, val_accuracy -> 0.6875
Epoch 1: accuracy -> 0.0, val_accuracy -> N/A
Epoch 2: accuracy -> 0.659250020980835, val_accuracy -> 0.7304999828338623
Epoch 3: accuracy -> 0.0, val_accuracy -> N/A
Epoch 4: accuracy -> 0.7093750238418579, val_accuracy -> 0.7434999942779541
Epoch 5: accuracy -> 0.0, val_accuracy -> N/A
Epoch 6: accuracy -> 0.7294999957084656, val_accuracy -> 0.7605000138282776
Epoch 7: accuracy -> 0.0, val_accuracy -> N/A
Epoch 8: accuracy -> 0.7643749713897705, val_accuracy -> 0.7745000123977661
Epoch 9: accuracy -> 0.0, val_accuracy -> N/A
Epoch 10: accuracy -> 0.7743750214576721, val_accuracy -> 0.7670000195503235
Epoch 11: accuracy -> 0.0, val_accuracy -> N/A
Epoch 12: accuracy -> 0.7793750166893005, val_accuracy -> 0.7739999890327454
Epoch 13: accuracy -> 0.0, val_accuracy -> N/A
Epoch 14: accuracy -> 0.7914999723434448, val_accuracy -> 0.7749999761581421
Epoch 15: accuracy -> 0.0, val_accuracy -> N/A
Epoch 16: accuracy -> 0.8086249828338623, val_accuracy -> 0.7935000061988831
Epoch 17: accuracy -> 0.0, val_accuracy -> N/A
Epoch 18: accuracy -> 0.8097500205039978, val_accuracy -> 0.8109999895095825
Epoch 19: accuracy -> 0.0, val_accuracy -> N/A
Epoch 20: accuracy -> 0.8226249814033508, val_accuracy -> 0.8205000162124634
Epoch 21: accuracy -> 0.0, val_accuracy -> N/A
Epoch 22: accuracy -> 0.8184999823570251, val_accuracy -> 0.8149999976158142
Epoch 23: accuracy -> 0.0, val_accuracy -> N/A
Epoch 24: accuracy -> 0.8296250104904175, val_accuracy -> 0.828499972820282
Epoch 25: accuracy -> 0.0, val_accuracy -> N/A
Epoch 26: accuracy -> 0.8328750133514404, val_accuracy -> 0.8165000081062317
Epoch 27: accuracy -> 0.0, val_accuracy -> N/A
Epoch 28: accuracy -> 0.8364999890327454, val_accuracy -> 0.843500018119812
Epoch 29: accuracy -> 0.0, val_accuracy -> N/A
Epoch 30: accuracy -> 0.8475000262260437, val_accuracy -> 0.8305000066757202
Epoch 31: accuracy -> 0.0, val_accuracy -> N/A
Epoch 32: accuracy -> 0.8495000004768372, val_accuracy -> 0.8489999771118164
Epoch 33: accuracy -> 0.0, val_accuracy -> N/A
Epoch 34: accuracy -> 0.8511250019073486, val_accuracy -> 0.8205000162124634
Epoch 35: accuracy -> 0.0, val_accuracy -> N/A
Epoch 36: accuracy -> 0.8587499856948853, val_accuracy -> 0.815500020980835
Epoch 37: accuracy -> 0.0, val_accuracy -> N/A
Epoch 38: accuracy -> 0.8663750290870667, val_accuracy -> 0.8554999828338623
Epoch 39: accuracy -> 0.0, val_accuracy -> N/A
Epoch 40: accuracy -> 0.8619999885559082, val_accuracy -> 0.8330000042915344
Epoch 41: accuracy -> 0.0, val_accuracy -> N/A
Epoch 42: accuracy -> 0.8712499737739563, val_accuracy -> 0.8585000038146973
Epoch 43: accuracy -> 0.0, val_accuracy -> N/A
Epoch 44: accuracy -> 0.8698750138282776, val_accuracy -> 0.8489999771118164
Epoch 45: accuracy -> 0.0, val_accuracy -> N/A
Epoch 46: accuracy -> 0.8762500286102295, val_accuracy -> 0.8640000224113464
Epoch 47: accuracy -> 0.0, val_accuracy -> N/A
Epoch 48: accuracy -> 0.8826249837875366, val_accuracy -> 0.8604999780654907
Epoch 49: accuracy -> 0.0, val_accuracy -> N/A
Epoch 50: accuracy -> 0.887374997138977, val_accuracy -> 0.8454999923706055
Epoch 51: accuracy -> 0.0, val_accuracy -> N/A
Epoch 52: accuracy -> 0.887374997138977, val_accuracy -> 0.8629999756813049
Epoch 53: accuracy -> 0.0, val_accuracy -> N/A
Epoch 54: accuracy -> 0.8947499990463257, val_accuracy -> 0.8460000157356262
Epoch 55: accuracy -> 0.0, val_accuracy -> N/A
Epoch 56: accuracy -> 0.8914999961853027, val_accuracy -> 0.875
Epoch 57: accuracy -> 0.0, val_accuracy -> N/A
Epoch 58: accuracy -> 0.8995000123977661, val_accuracy -> 0.8684999942779541
Epoch 59: accuracy -> 0.0, val_accuracy -> N/A
Epoch 60: accuracy -> 0.8973749876022339, val_accuracy -> 0.8610000014305115
Epoch 61: accuracy -> 0.0, val_accuracy -> N/A
Epoch 62: accuracy -> 0.9001250267028809, val_accuracy -> 0.8659999966621399
Epoch 63: accuracy -> 0.0, val_accuracy -> N/A
Epoch 64: accuracy -> 0.9033750295639038, val_accuracy -> 0.8644999861717224
Epoch 65: accuracy -> 0.0, val_accuracy -> N/A
Epoch 66: accuracy -> 0.9023749828338623, val_accuracy -> 0.8709999918937683
Epoch 67: accuracy -> 0.0, val_accuracy -> N/A
Epoch 68: accuracy -> 0.9085000157356262, val_accuracy -> 0.8675000071525574
Epoch 69: accuracy -> 0.0, val_accuracy -> N/A
Epoch 70: accuracy -> 0.9120000004768372, val_accuracy -> 0.8684999942779541
Epoch 71: accuracy -> 0.0, val_accuracy -> N/A
Epoch 72: accuracy -> 0.9132500290870667, val_accuracy -> 0.8705000281333923
Epoch 73: accuracy -> 0.0, val_accuracy -> N/A
Epoch 74: accuracy -> 0.9142500162124634, val_accuracy -> 0.8740000128746033
Epoch 75: accuracy -> 0.0, val_accuracy -> N/A
Epoch 76: accuracy -> 0.9167500138282776, val_accuracy -> 0.8684999942779541
Epoch 77: accuracy -> 0.0, val_accuracy -> N/A
Epoch 78: accuracy -> 0.9141250252723694, val_accuracy -> 0.8705000281333923
Epoch 79: accuracy -> 0.0, val_accuracy -> N/A
Epoch 80: accuracy -> 0.9179999828338623, val_accuracy -> 0.8805000185966492
Epoch 81: accuracy -> 0.0, val_accuracy -> N/A
Epoch 82: accuracy -> 0.9231250286102295, val_accuracy -> 0.8694999814033508
Epoch 83: accuracy -> 0.0, val_accuracy -> N/A
Epoch 84: accuracy -> 0.9193750023841858, val_accuracy -> 0.8694999814033508
Epoch 85: accuracy -> 0.0, val_accuracy -> N/A
Epoch 86: accuracy -> 0.9226250052452087, val_accuracy -> 0.8759999871253967
Epoch 87: accuracy -> 0.0, val_accuracy -> N/A
Epoch 88: accuracy -> 0.9228749871253967, val_accuracy -> 0.8629999756813049
Epoch 89: accuracy -> 0.0, val_accuracy -> N/A
